1000	80
2000	269
3000	513
4000	839
5000	1246
6000	1736
7000	2307
8000	2961
9000	3697
10000	4524
11000	5425
12000	6408
13000	7473
14000	8628
15000	9859
16000	11172
17000	12570
18000	14047
19000	15606
20000	17253
21000	18975
22000	20789
23000	22674
24000	24651
25000	26703
26000	28844
27000	31059
28000	33365
29000	35745
30000	38212
31000	40763
32000	43391
33000	46104
34000	48921
35000	51792
36000	54752
37000	57795
38000	60921
39000	64122
40000	67413
41000	70786
42000	74243
43000	77811
44000	81431
45000	85135
46000	88921
47000	92787
48000	96738
49000	100772
50000	104886
51000	109082
52000	113364
53000	117725
54000	122168
55000	126691
56000	131300
57000	135988
58000	140766
59000	145621
60000	150560
61000	155580
62000	160686
63000	165866
64000	171134
65000	176504
66000	181932
67000	187446
68000	193043
69000	198720
70000	204484
71000	210327
72000	216256
73000	222262
74000	228358
75000	234530
76000	240792
77000	247132
78000	253559
79000	260060
80000	266649
81000	273324
82000	280072
83000	286904
84000	293823
85000	300827
86000	307918
87000	315080
88000	322324
89000	329655
90000	337067
91000	344560
92000	352135
93000	359786
94000	367529
95000	375371
96000	383276
97000	391263
98000	399337
99000	407494
100000	415734
