1000	35
2000	68
3000	102
4000	135
5000	169
6000	203
7000	236
8000	271
9000	304
10000	338
11000	372
12000	405
13000	439
14000	473
15000	507
16000	546
17000	574
18000	607
19000	646
20000	675
21000	709
22000	744
23000	777
24000	811
25000	843
26000	878
27000	911
28000	945
29000	980
30000	1013
31000	1053
32000	1080
33000	1115
34000	1148
35000	1181
36000	1216
37000	1273
38000	1283
39000	1317
40000	1361
41000	1390
42000	1418
43000	1453
44000	1484
45000	1519
46000	1559
47000	1595
48000	1626
49000	1661
50000	1696
51000	1722
52000	1756
53000	1798
54000	1830
55000	1864
56000	1897
57000	1930
58000	1965
59000	1992
60000	2026
61000	2058
62000	2100
63000	2133
64000	2166
65000	2195
66000	2229
67000	2267
68000	2300
69000	2331
70000	2371
71000	2404
72000	2431
73000	2472
74000	2500
75000	2538
76000	2572
77000	2605
78000	2641
79000	2674
80000	2707
81000	2742
82000	2770
83000	2809
84000	2836
85000	2877
86000	2911
87000	2937
88000	2978
89000	3012
90000	3041
91000	3078
92000	3113
93000	3147
94000	3183
95000	3209
96000	3250
97000	3282
98000	3319
99000	3351
100000	3384
