1000	8
2000	14
3000	22
4000	29
5000	36
6000	44
7000	53
8000	60
9000	66
10000	74
11000	82
12000	88
13000	96
14000	104
15000	111
16000	119
17000	125
18000	134
19000	141
20000	149
21000	156
22000	162
23000	171
24000	177
25000	184
26000	191
27000	199
28000	207
29000	213
30000	221
31000	228
32000	236
33000	250
34000	249
35000	257
36000	265
37000	272
38000	285
39000	287
40000	294
41000	301
42000	309
43000	317
44000	324
45000	331
46000	339
47000	346
48000	355
49000	360
50000	374
51000	374
52000	383
53000	392
54000	398
55000	405
56000	412
57000	419
58000	427
59000	434
60000	442
61000	449
62000	456
63000	464
64000	479
65000	479
66000	494
67000	494
68000	511
69000	508
70000	516
71000	524
72000	532
73000	548
74000	547
75000	555
76000	570
77000	570
78000	576
79000	584
80000	592
81000	598
82000	607
83000	613
84000	622
85000	629
86000	638
87000	644
88000	652
89000	660
90000	668
91000	675
92000	682
93000	690
94000	698
95000	704
96000	712
97000	727
98000	728
99000	735
100000	744
